software_name,category,version,install_date,vendor,size_mb
Python,Development,3.10.20,2024-01-15,Anaconda Inc.,150
Anaconda,Development,2024.02,2024-01-15,Anaconda Inc.,3500
Git,Development,2.52.0,2024-01-10,Git for Windows,85
VS Code,Development,1.89.0,2024-02-01,Microsoft,320
SQL Server Express,Database,14.0.2014,2024-01-20,Microsoft,650
PostgreSQL,Database,16.2,2024-02-10,PostgreSQL Global Development Group,280
DBeaver,Database,24.0.1,2024-02-12,DBeaver Corp,190
Power BI Desktop,BI,2.128.2028.0,2024-03-01,Microsoft,850
Tableau Public,BI,2024.1.0,2024-03-05,Salesforce,1200
Jupyter Notebook,Development,7.1.0,2024-01-16,Project Jupyter,45
Pandas,Library,2.2.1,2024-01-16,Open Source,35
NumPy,Library,1.26.4,2024-01-16,Open Source,25
Matplotlib,Library,3.8.3,2024-01-16,Open Source,15
Seaborn,Library,0.13.2,2024-01-16,Open Source,12
Scikit-learn,Library,1.4.1,2024-01-18,Open Source,40
Docker Desktop,DevOps,4.28.0,2024-02-20,Docker Inc.,950
Postman,API Testing,10.24.0,2024-02-25,Postman Inc.,210
Excel,Office,16.0.17328,2023-12-01,Microsoft,2500
Word,Office,16.0.17328,2023-12-01,Microsoft,2200
PowerPoint,Office,16.0.17328,2023-12-01,Microsoft,1800
Chrome,Browser,124.0.6367,2024-01-05,Google,180
Firefox,Browser,125.0.3,2024-01-08,Mozilla,160
Notion,Productivity,3.1.0,2024-02-15,Notion Labs,140
Trello,Productivity,1.0.0,2024-02-18,Atlassian,95
Slack,Communication,4.37.134,2024-01-25,Salesforce,175
Telegram,Communication,4.16.2,2024-01-28,Telegram FZ-LLC,110
Zoom,Communication,5.17.5,2024-02-01,Zoom Video Communications,230
OBS Studio,Media,30.1.2,2024-03-10,OBS Project,125
VLC Media Player,Media,3.0.20,2023-11-15,VideoLAN,80
7-Zip,Utilities,23.01,2023-10-20,Igor Pavlov,5
WinRAR,Utilities,6.24,2023-10-22,win.rar GmbH,8
Adobe Acrobat Reader,Utilities,23.006,2023-12-10,Adobe,450
Draw.io,Design,24.2.5,2024-03-15,JGraph Ltd,130
KNIME Analytics Platform,Analytics,5.3.0,2024-03-20,KNIME AG,900
RStudio,Development,2023.12.1,2024-02-05,Posit,380
Julia,Development,1.10.2,2024-02-08,Julia Computing,220
Airflow,Orchestration,2.9.0,2024-04-01,Apache Software Foundation,180
dbt-core,Analytics,1.7.0,2024-04-05,dbt Labs,65
Great Expectations,Data Quality,0.18.15,2024-04-10,Great Expectations,45
Streamlit,Web App,1.33.0,2024-04-12,Snowflake,55
